rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
93,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,88,88,224,42998,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
94,ZUTOMAYO,正しくなれない,Universal Music LLC,16,92,175,42323,0.648,0.679,5,-3.959,1,0.0361,0.036,5.46e-06,0.127,0.484,118.67,240067,4
95,Eito,香水,A.S.A.B,2,91,413,42242,0.85,0.34,3,-7.37,1,0.042,0.824,0.0,0.0882,0.774,121.759,255227,4
96,TWICE,I CAN'T STOP ME,WM Japan,11,97,227,42078,0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,205493,4
97,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,85,87,24,41538,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
98,ONE OK ROCK,Wherever you are,Aer-born,4,96,1621,41266,0.379,0.69,4,-4.79,1,0.0549,0.0286,0.0,0.335,0.288,173.716,295600,4
99,Fujii Kaze,旅路,Universal Music LLC,59,93,102,41176,0.59,0.556,9,-7.124,1,0.07,0.0711,3.24e-06,0.08,0.749,171.936,277333,4
100,Macaroni Empitsu,ブルーベリー・ナイツ,TALTO,73,95,387,40975,0.66,0.865,5,-3.642,1,0.0277,0.278,0.0,0.0931,0.772,106.008,244869,4
101,SUDA MASAKI,星を仰ぐ,Sony Music Labels Inc.,52,100,127,39361,0.523,0.5,1,-4.551,1,0.0262,0.034,0.0,0.105,0.468,78.015,293000,4
102,"kZm, Tohji",TEENAGE VIBE feat. Tohji,YENTOWN / bpm tokyo,79,103,74,38813,0.539,0.941,11,-4.645,0,0.29,0.0747,0.0,0.052,0.539,179.042,157582,4
103,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,77,101,61,38129,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,4
104,Bella Poarch,Build a Bitch,Warner Records,96,102,22,37818,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122773,4
105,back number,HAPPY BIRTHDAY,Universal Music LLC,61,105,242,37579,0.482,0.602,11,-4.365,1,0.0303,0.0702,0.0,0.0677,0.535,145.988,258333,4
106,Aimyon,君はロックを聴かない,WM Japan,2,109,1225,37410,0.524,0.687,7,-4.039,1,0.0267,0.00135,0.0,0.169,0.619,99.919,246307,4
107,Tokyo Incidents,緑酒,Universal Music LLC,107,-1,2,37262,0.404,0.842,1,-3.411,0,0.0463,0.0136,0.0,0.313,0.572,166.88,246507,4
108,Yorushika,花に亡霊,Universal Music LLC,28,110,414,37219,0.646,0.45,4,-6.628,1,0.0482,0.573,0.0,0.0768,0.413,90.01,241227,4
109,Aimyon,ハルノヒ,WM Japan,4,108,799,37195,0.592,0.672,9,-2.447,1,0.0294,0.261,0.0,0.109,0.523,106.948,326867,4
110,もさを。,ぎゅっと。,Mosawo,31,104,314,37042,0.773,0.363,4,-7.304,1,0.0383,0.814,0.0,0.103,0.774,119.994,269747,4
111,back number,高嶺の花子さん,Universal Music LLC,7,113,833,36978,0.54,0.923,9,-2.838,1,0.0623,0.066,0.0,0.124,0.343,137.977,294813,4
112,Mom,あかるいみらい,Colourful Records,65,111,68,36944,0.794,0.752,8,-5.564,0,0.266,0.0886,2.72e-05,0.108,0.691,79.994,131789,4
113,Billie Eilish,Lost Cause,Darkroom/Interscope Records,106,106,6,36576,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,212496,4
114,OFFICIAL HIGE DANDISM,ノーダウト,LASTRUM,3,115,1151,36517,0.574,0.936,2,-3.185,1,0.0701,0.0585,0.0,0.336,0.792,149.954,202395,4
115,"STUTS, Takako Matsu, KID FRESINO, 3exes",Presence I,Sony Music Labels Inc.,62,144,57,36443,0.607,0.654,2,-5.915,1,0.0962,0.469,0.00047,0.085,0.294,93.473,250509,4
116,BTS,ON,BIGHIT MUSIC,16,112,446,36394,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,246381,4
117,TWICE,Feel Special,WM Japan,13,118,626,36103,0.709,0.959,1,-1.339,1,0.0603,0.0296,0.00188,0.107,0.644,128.983,206868,4
118,Mrs. GREEN APPLE,僕のこと,Universal Music LLC,15,114,896,36077,0.439,0.708,7,-3.825,1,0.0528,0.0129,0.0,0.147,0.454,160.027,321307,4
119,OFFICIAL HIGE DANDISM,Laughter,IRORI Records,9,117,336,36029,0.396,0.801,4,-4.673,1,0.035,0.023,0.0,0.138,0.366,159.769,350300,4
120,Macaroni Empitsu,八月の陽炎,Toy's Factory,100,107,11,35280,0.52,0.799,4,-4.223,1,0.0655,0.0842,0.0,0.307,0.731,135.058,225256,4
121,OFFICIAL HIGE DANDISM,宿命,ポニーキャニオン,2,119,702,35229,0.547,0.577,5,-6.087,1,0.0336,0.0152,0.0,0.109,0.494,164.032,280856,4
122,BTS,DNA,BIGHIT MUSIC,2,120,987,34960,0.598,0.775,1,-4.035,0,0.0545,0.022,0.0,0.0677,0.687,129.819,223123,4
123,Shota Shimizu,恋唄,Sony Music Labels Inc.,91,116,22,34874,0.613,0.493,8,-8.12,1,0.0271,0.352,0.000306,0.0788,0.445,140.025,300067,4
124,BLOOM VASE,Pop Corn,Warner Music D.N.A.,77,121,171,34712,0.746,0.757,7,-4.149,1,0.0414,0.547,1.04e-06,0.094,0.712,87.509,157714,4
125,Tani Yuuki,Myra,Tani Yuuki,10,122,341,34097,0.683,0.318,0,-13.335,1,0.0349,0.71,9.05e-05,0.167,0.587,144.027,255000,4
126,[Alexandros],ワタリドリ,Universal Music LLC,5,128,1621,33815,0.508,0.964,9,-4.077,1,0.0831,0.00141,0.0,0.197,0.609,134.982,248707,4
127,"LiSA, Uru",再会 (produced by Ayase),Sony Music Labels Inc.,32,123,204,33652,0.713,0.606,7,-5.718,0,0.0328,0.315,0.0,0.262,0.492,90.005,242167,4
128,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,103,124,72,33613,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,137876,4
